"merge.1","merge.2"
-1643,-3475
-1843,-2871
-662,-1158
-3702,-4751
-3332,-3624
-1265,-2758
-131,-4110
-68,-483
-2769,-3920
-775,-4933
-865,-4926
-976,-2824
-157,-1837
-2301,-3802
-2802,-4508
-2682,-2902
-585,-589
-198,-2124
-3849,-4106
-3339,-3663
-107,-3068
-3097,-3637
-496,-3031
-1064,-1968
-353,-989
-1232,-3974
-247,-1058
-1847,-2048
-4242,-4970
-1066,-4726
-169,-397
-996,-3600
-993,-1233
-42,-285
-3300,-3977
-1807,-2424
-1052,-1965
-4260,-4576
-812,-3335
-1474,-1823
-1804,-4058
-2066,-2607
-2143,-2736
-126,-678
-1095,-4173
-484,-4129
-456,-4943
-1681,-2694
-1243,-3327
-2888,-3481
-759,-4541
-1673,-2512
-382,-3374
-2562,-4083
-2451,-4335
-2524,-4742
-238,-2763
-1104,-2407
-3738,-4357
-2128,-2667
-2647,-3268
-2204,-4012
-57,-4810
-129,-188
-2458,-4473
-392,-2889
-2833,-4766
-2347,-4913
-18,-316
-1485,-3736
-3404,-4601
-1125,-2752
-4599,-4744
-2508,-3448
-2034,-2042
-3095,-3657
-2422,-3698
-1151,-1507
-93,-904
-3423,-3900
-2084,-3006
-2776,-4299
-1887,-2202
-2129,-4859
-1144,-2418
-1975,-2226
-1678,-3226
-1425,-2967
-4347,-4876
-1329,-3598
-2761,-3452
-4234,-4991
-3131,-3324
-430,-3691
-1457,-3958
-1744,-4418
-2794,-4220
-872,-3855
-3814,-4160
-871,-3679
-3945,-4597
-2665,-4165
-2013,-2606
-376,-4170
-2648,-3288
-1509,-1691
-1130,-4353
-3005,-4578
-647,-2610
-1364,-2771
-4024,-4271
-2715,-3425
-3821,-4085
-1199,-3603
-249,-2267
-485,-571
-2433,8
-1550,-1800
-1437,-2768
-406,-727
-795,-4842
-918,-2770
-717,-2825
-681,-1947
-2333,-4670
-3004,-4102
-173,-815
-1170,-4031
-91,-553
-35,-919
-474,-592
-3866,-4544
-1280,-4791
-821,-1348
-1033,-4923
