"merge.1","merge.2"
-3954,-4644
-1003,-4046
-2878,-4453
-2154,-4419
-1953,-4822
-2232,-4137
-1254,-1603
-168,-181
-1525,-3231
-827,-1197
-2904,-4369
-510,-1850
-1719,-3759
-935,-4749
-1270,-3058
-1417,-1505
-2776,-4812
-3911,-4817
-2615,-4328
-334,-4624
-2578,-4251
-4232,-4607
-592,-2777
-4674,-4857
-146,-4966
-1575,-1738
-878,-2672
-2695,-3719
-1459,-1664
-2955,-4707
-3909,-4790
-812,-818
-3927,-4493
-3522,-4422
-511,-2982
-620,-2278
-3199,-4122
-3516,-4050
-1533,-1915
-4045,-4751
-1372,-4871
-1975,-4039
-731,-4616
-2813,-3928
-1438,-2081
-4788,-4793
-2881,-3219
-421,-786
-504,-2219
-2009,-4299
-2822,-4933
-3361,-4351
-2862,-2973
-734,-4231
-3230,-3950
-3193,-4684
-690,-4960
-92,-4981
-63,-1300
-2161,-2423
-1043,-2014
-1231,-3122
-716,-2670
-1681,-2355
-2316,-2491
-3604,-3632
-1847,-3181
-225,-3755
-808,-2470
-1613,-4688
-1410,-3591
-3681,-4534
-751,-1944
-1148,-3192
-2800,-4551
-418,-1644
-1874,-3994
-3849,-4085
-664,-3036
-2601,-4027
-2167,-3576
-212,-3218
-3171,-4473
-797,-1021
-2637,-2643
-2242,-2784
-1471,-2109
-2532,-4460
-2287,-4640
-1122,-1268
-2104,-3224
-3867,-3899
-149,-1182
-1622,-4367
-2205,-2810
-1839,-3103
-1450,-2950
-1051,-2388
-794,-1832
-340,-1474
-2251,-4502
-1619,-2528
-2605,-2840
-236,-507
-1116,-3829
-2513,-2706
-628,-1863
-1968,2
-1269,-4658
-524,-4628
-3549,-4187
-2983,19
-121,-777
-2324,-4077
-1630,5
-2352,-3751
-3280,-3463
-2866,-4363
-2305,-3048
-793,-4655
-3285,-3651
-390,-4178
-4715,49
-2572,-4563
-3946,-4387
-2688,-4056
-1288,-2503
-617,-3660
-2290,-4884
-1389,-2387
-2456,-3673
-1072,-3404
-4047,-4948
-1532,-4041
-2922,-3704
-3856,-4456
-1961,-3628
-1491,-2867
-2412,-4374
-1077,-4979
-768,-4335
-525,-3437
-343,-3649
-1070,-1817
-790,-2055
-2029,-4603
-4135,-4634
-1797,-2716
-2347,-3779
-75,-2956
-1260,-2521
-2570,-2584
-2455,-2960
-2994,-4101
-581,-4206
-456,-3098
-2431,-4462
-132,-3137
-230,-4695
-1917,-2709
-486,-3840
-971,-4470
-178,-2013
-2630,-3077
-265,-4426
-3919,-4701
-485,-3561
-2374,-2389
-1745,-2477
-82,-1375
-2920,-4116
-4423,16
-22,-3476
-2591,-2726
-2962,-4907
-535,-1565
-3822,-3962
-1973,-3525
-2293,-3806
-3107,-3907
-1130,-1985
-610,-4608
-2773,21
-266,-4631
