"merge.1","merge.2"
-141,-2040
-656,-667
-1131,-3291
-654,-1137
-538,-797
-523,-2434
-1193,-3071
-2051,-3148
-445,-2658
-2096,-2953
-2689,3
-1220,-3269
-3042,-3406
-606,-2611
-657,-2018
-389,-1713
-977,2
-175,-2916
-457,-2729
-1237,-2428
-397,-502
-1991,-2682
-542,-3287
-1815,-3065
-2482,-3093
-562,-1824
-33,-3087
-1503,-1827
-1156,-2895
-21,-41
-997,-2170
-880,-1473
-3103,-3257
-1305,-1781
-1976,-2927
-2942,-3393
-1327,-3455
-125,-1356
-2626,-3377
-235,-1073
-278,-2684
-22,-828
-892,-1767
-1318,-1553
-412,-1431
-1100,-3134
-2562,-3044
-1083,-1124
-1725,-3080
-815,-932
-2935,-2973
-3143,-3388
-1508,-2939
-2043,-2888
-807,-1143
-733,-3384
-340,-1307
-987,-1396
-1179,-2163
-1464,-1950
-666,-1201
-27,-886
-1837,10
-393,-529
-836,-2703
-661,-2337
-1432,-1859
-198,-2904
-1959,-2637
-181,-566
-221,-509
-2925,-3433
-290,-3280
-1338,37
-1952,-2660
-1082,-3116
-898,-1117
-1071,-1355
-251,-1536
-1784,-3475
-750,-1890
-405,-2985
-948,-2044
-1357,-2350
-1620,-1771
-981,-3232
-1171,-1623
-2198,-2915
-1123,-1127
-1119,-2063
-697,-2052
-404,-485
-859,-1407
-929,-2793
-1080,-2158
-184,-2813
-304,-1813
-1111,-1765
-317,-2239
-1936,-2735
-1707,-2910
-2315,-2354
-813,-1580
-266,-3031
-396,-2136
-2528,-2764
-19,-2181
-7,-2360
-2424,-2924
-2002,-2462
-524,-2727
-1278,-2053
-1026,-3020
-158,-2028
-515,-1185
-114,-2544
-2605,-3050
-2255,-2286
-2104,-3034
-1656,-2890
-470,28
-2065,-3119
-1842,-3365
-30,-398
-264,-1347
-790,-2221
-1625,-2264
-38,-2715
-959,85
-2196,-3090
-1688,13
-544,-850
-249,-3255
-964,-2112
-466,-1635
-771,-1712
-1621,-1907
-1538,-2851
-1547,-3055
-789,-1050
-504,-1554
-1120,-3040
-901,-1711
-513,-2484
-1455,-1583
-1215,-1402
-2253,-2774
-960,-3294
-273,-2566
-3117,-3295
-268,-3454
-2021,-3267
-744,-3404
-1539,-2858
-236,-3177
-543,-2614
-1615,-3254
-1770,-2373
-1089,-3367
-1528,-1572
-589,-2744
-1513,-2532
-1079,-1367
-3206,73
-1221,-1311
-1394,-2430
-1115,-2780
-887,-1780
-983,-1264
-429,-580
-3225,7
-1340,-3010
-42,-137
-241,-552
40,120
-2464,-2871
-1186,-2610
-2731,-3264
-1596,-1763
-1015,-1555
-1169,-3421
-1052,-1569
-906,-3413
-1270,-3467
-1939,-3064
-962,-2981
-1443,-3104
-643,47
-870,-3082
-805,-2245
-1210,-2287
-1910,-2079
-3097,-3181
-2270,60
-226,36
-1757,-2961
-1904,-2442
-2150,-2288
-2075,-2307
-592,-2812
-3088,-3435
-1717,14
-44,-1038
-605,-2817
-613,-1428
-1678,-3491
-178,-342
-192,-3427
-851,-966
-2202,-2507
-444,-2730
-1279,-1779
-169,-1915
-362,-1449
-550,-2567
-1592,-2247
-947,-1548
-129,-610
-639,-1997
-1540,-3484
-2634,-3250
-1474,-1532
-1550,-1966
-2687,-2908
-2457,-2710
-530,-3422
-1116,-3272
-1616,-1708
-355,-2000
-2068,-2704
-234,-1419
-2795,-3256
-2231,-2667
-1447,-1458
-1053,-1262
-1494,159
-830,-3335
-1024,-2279
-1856,-2516
-1659,-3149
-1317,-1778
-490,-2347
-664,-1224
-1981,-2519
-348,-1010
-1475,-2655
-670,-1564
-2191,-2688
-1216,-1988
-595,-1250
-2978,18
-1504,-3265
-167,-2581
-659,17
-865,-3049
-1647,-1875
-514,-2708
-1465,-2338
-1968,-3128
-720,-883
-642,-1333
-1303,-2110
-835,-1726
-168,-724
