,Ter119,CD45.2,Ly6G,IgD,CD11c,F480,CD3,NKp46,CD23,CD34,CD115,CD19,120g8,CD8,Ly6C,CD4,CD11b,CD27,CD16_32,SiglecF,Foxp3,B220,CD5,FceR1a,TCRgd,CCR7,Sca1,CD49b,cKit,CD150,CD25,TCRb,CD43,CD64,CD138,CD103,IgM,CD44,MHCII,ASSIGNED_CLUSTER
0,-0.05654027700000001,0.3905188,0.35415456,-0.046796843000000005,-0.004567524,2.642805,0.13612004,0.34104082,0.12296403,0.30454946,0.23030995,-0.029669622000000003,-0.012580290000000001,-0.12207484,0.5650193,0.18690133,2.2721019,0.40100163,4.185573,3.4639618,-0.049426638,-0.1430487,-0.14202382,0.13446312,-0.10555231,0.15284736000000002,0.095317945,1.2600867,0.10821152,0.05792096,-0.09985137000000001,-0.09526077000000001,0.031072,0.6690496,1.0277029,0.06310913,0.13859773,4.441963,0.8981558,4
1,-0.08818657,0.3978295,0.12764849,-0.03309735,-0.060616143000000004,-0.046853665,-0.14684449,-0.13106592,-0.02180446,1.0870118,-0.108906925,-0.028017754000000002,0.8034369,-0.072648585,0.9636387,0.11831912,1.7411770999999998,0.5984486,4.370193,2.9201113999999997,0.43876362,0.14293644,0.75378627,-0.026897214000000003,0.33109108,0.22302024,1.1061397,-0.07296699999999999,2.193114,0.24612851,0.36572608,0.035531003000000005,0.63268596,0.16930132,-0.08931457,0.13124137,0.27244893,4.302613,0.97368526,0
2,-0.051634938000000005,1.1533421,0.044690214000000006,-0.06628737600000001,-0.059589274000000005,3.3565028,0.22062567,-0.10997043000000001,0.24011004,-0.10100064,-0.12810256,-0.03536247,-0.006230694,-0.14577177,0.15028933,1.9742210999999998,2.125134,0.36450854,4.7192235,2.9978414,0.20073098,-0.0058417600000000005,-0.042459827000000006,0.3871331,-0.07795645,0.67286575,0.12618321,-0.11839156,0.36650193000000003,0.09539171,-0.13736098,-0.12155059,2.2147443,3.3528793,0.23006828000000001,-0.055736850000000004,0.27788737,4.1584826,2.0817099,0
3,-0.0047715710000000005,0.67797786,0.7722602,0.15490386,1.6252472,2.5365438,0.052766934,-0.008207603,0.01941997,-0.085776135,0.29200965,-0.042627543000000004,0.9047006,-0.021460108000000002,0.64349157,-0.030905304,2.8370295,0.48634154,1.9639691,3.0599475,0.47995317,0.0076690796,-0.016681042,0.45426449999999996,0.8659059,2.78256e-05,-0.10396930600000001,0.6578896,0.65845776,-0.0974341,0.09100504,0.9234707999999999,0.44730929999999997,0.12229303,0.50489646,0.7058905400000001,0.34430113,4.4992805,0.9738838999999999,4
4,-0.15291052,0.8501909400000001,0.8155475999999999,-0.1348422,-0.037071135000000005,2.792957,0.6286171700000001,0.22386685,-0.022101963000000002,0.47002128,1.9565686,-0.0125538735,-0.14962111,-0.065942444,0.41060644,0.5259434,2.7582848,0.26157826,2.9193187,3.491133,0.044973582000000005,-0.080358334,-0.016061084,0.09632828,-0.049193107,-0.11127745,-0.12926885,0.40030709999999997,-0.15078077,-0.09474541,0.21778645,-0.06287209,-0.0067132170000000005,2.2143304,0.60502493,-0.15099622000000001,-0.047178254,3.9819798,0.018699542,4
5,-0.11012794000000001,1.6661370999999998,0.45338038,0.1955341,-0.11535691000000001,2.9816449,0.16743222,-0.023241246,-0.12510315,1.4072554,0.122952245,0.18538284,-0.14497323,-0.14467466,0.019399997000000002,0.2426266,4.3039083,-0.03829377,3.5140595,4.1154209999999996,0.08440056400000001,-0.12815903,-0.12383793,-0.13198426,-0.035820592000000005,-0.15501717,0.31210133,0.21733105,-0.046062104,-0.030840062,-0.03169391,-0.14984941000000002,0.8100644,0.21850584,-0.10296069000000001,-0.083368234,-0.058869287000000006,3.5627103,0.5525028,4
6,-0.07414196,1.4352667000000001,0.17198393,0.24065559,-0.0024911505000000003,2.2693403,-0.08686703,0.21524648000000002,-0.0073541566,0.60457206,0.33195979999999997,-0.07812603,-0.048234884000000006,-0.08810901,0.89223796,0.4199775,2.600938,0.13094327,4.6437297,2.8260746,0.66685194,0.20345365,0.47869839999999997,-0.14595492000000002,0.009636753000000001,-0.13344319999999998,-0.057170272,0.16917294,-0.12350269400000001,-0.09510322,0.07483716,-0.11883101600000001,1.4813589,1.5023783,-0.09854895,-0.15200114,0.13497746,4.1260443,0.59443223,4
7,-0.07379784,0.84060216,0.25389862,0.09278217,-0.06479736,0.72824603,0.29376373,-0.1467203,-0.06063831,0.07461627,-0.08086804,-0.1399093,-0.08558651,-0.008102606,0.13836108,0.35875356,3.1786122,-0.12329451,3.4453175,2.2795477,-0.037708472,0.0070248498,0.9400506999999999,-0.048885684000000006,-0.121761166,0.6294126999999999,0.50910294,-0.11006462,-0.060202003000000004,-0.13661814,-0.08971664,0.08255944,0.86813843,0.8291204600000001,0.18539634,0.15053691,0.44849449999999996,4.199664,0.88514507,4
8,-0.15269245,2.5135264,2.006599,-0.029796826000000002,-0.11589128500000001,3.3887146,0.29665512,0.2569172,-0.050928462,0.4899999,1.195381,-0.007621363000000001,-0.0048792306,0.51497626,3.6959648,1.5833224000000001,2.0093176,0.66537696,4.4904947,3.0733123,0.28578252,0.12819,0.59230053,0.81584245,0.24360827000000002,-0.076444544,1.3306613999999999,0.6021168,1.7324659,0.27446282,0.10701816500000001,-0.08467397,2.4374492,3.8654885,0.99277294,0.060625,0.54628867,4.7064986,2.242472,0
9,-0.09573366500000001,0.8106030999999999,0.6025277,-0.120161586,-0.08573389000000001,0.94927067,1.0754962,0.29399988,-0.1005932,0.0029349893,-0.034764703,0.11550245,-0.076837875,0.041138373000000006,1.8081567,-0.001240983,2.7381554,-0.14895597,3.9683067999999997,2.6783893,0.38866168,-0.10925911,-0.12054876,-0.11920314,-0.051844787,0.19585523,0.07515862,-0.052873492,0.098928206,0.14092925,0.029559236000000003,-0.07958113,0.4313089,0.19255956,0.44328284,0.11293805,-0.011517104,4.2436213,0.8221475500000001,4
