Ter119,CD45.2,Ly6G,IgD,CD11c,F480,CD3,NKp46,CD23,CD34,CD115,CD19,120g8,CD8,Ly6C,CD4,CD11b,CD27,CD16_32,SiglecF,Foxp3,B220,CD5,FceR1a,TCRgd,CCR7,Sca1,CD49b,cKit,CD150,CD25,TCRb,CD43,CD64,CD138,CD103,IgM,CD44,MHCII
-0.083026044,2.3088603,0.08060227,-0.041932743,-0.10289995,3.002947,-0.01571638,0.067123644,-0.0552241,0.14337091,-0.04720155,0.25246271,0.059387982,-0.006328795,2.2100525,1.0399992,4.7776136,-0.10375719,4.9161167,3.2819023,0.21296817,0.4809974,-0.085382946,0.038150866,0.014110303,0.19599348,-0.07700972,-0.13935232,-0.05111355,-0.0010260267,-0.07361887,-0.103658125,0.59454626,2.3300285,0.21312086,0.2575565,-0.13755365,4.8812175,0.8392598
-0.011115924,0.9739601,0.41468817,-0.15777439,-0.14232829,0.8392402,0.27575642,-0.021557499,-0.018815065,0.0664826,-0.0337034,-0.15620588,-0.14882728,-0.14183909,0.8208155,0.64697695,2.278989,0.1494738,4.405969,3.021761,-0.16127796,-0.05811478,0.0121433,0.3849028,0.032461885,0.27626112,-0.024915632,0.055712555,-0.09243244,0.040716663,-0.12886724,-0.09501654,0.2789995,1.9324313,0.53319436,0.56552416,0.07619477,4.4371247,1.1847776
0.081336275,0.7356501,1.2617412,-0.14792487,-0.14602253,1.8208288,0.3824861,-0.15178038,-0.06810214,0.39587775,0.3166505,-0.065162286,-0.062238738,-0.15631004,0.13779205,1.0768061,1.8502849,0.5711759,4.222055,2.5038826,1.155626,-0.048619382,0.6601836,0.3643676,0.35506308,-0.023303717,-0.12370815,-0.025152799,-0.06756134,-0.09452905,-0.09663471,0.02456256,1.0965627,1.1415409,-0.16050255,-0.12160559,-0.12080046,4.091398,0.5054269
-0.10046937,1.3035752,-0.1256612,-0.057457924,-0.058804464,0.8941293,-0.010423389,0.79459894,-0.08428791,0.45149007,0.40723363,-0.09158871,-0.14155218,-0.14920475,2.1729658,0.24081747,2.6097896,-0.09508244,3.8599403,3.643356,-0.123084486,0.12965983,0.66390437,-0.15051308,-0.063766,1.5703908,0.10075252,0.5752083,0.11142836,0.41169375,0.13927095,-0.0061829863,1.0633802,0.91973937,0.23439194,0.2250941,-0.05498472,4.574034,2.0054557
-0.031527106,1.6258328,-0.030551124,0.04500255,-0.10887162,2.7177591,0.5235988,0.16051817,0.034293473,0.43493384,-0.05106624,-0.017476644,-0.017581156,-0.07862565,0.73583186,0.047188047,2.3355436,-0.12450913,3.8335106,3.4305725,0.020247798,0.4256471,-0.0052534402,-0.12907134,-0.15312107,0.9160401,0.27374986,-0.054330837,0.42402342,-0.023278903,-0.10666599,-0.15829666,0.7913539,1.2243524,0.2654739,0.076494016,-0.15239887,4.894962,0.56267834
-0.023057178,1.3874269,1.9206291,-0.12229859,0.008288313,2.1937191,0.27842438,-0.0077277087,-0.075699575,0.71193135,0.27428535,-0.0058316886,0.098033786,-0.064219534,0.72895145,0.31662795,2.475257,0.88235193,4.9911704,3.1540272,0.4607535,0.10429547,0.26580864,-0.14241385,-0.16064182,0.33569333,0.054301824,-0.011773888,-0.13632737,-0.06392276,0.09241348,0.046178684,1.1323696,1.1321688,1.045818,0.15413408,-0.012168512,4.612714,1.28443
0.049461965,0.35756564,1.0850952,-0.06283867,-0.08409012,1.2985502,0.034500316,-0.13775015,0.0147428615,0.38096106,0.5895467,-0.062725276,-0.09214229,0.66345656,-0.121308856,0.44531944,2.2283905,0.04987522,4.1460295,2.6192565,0.4114234,-0.15300427,-0.054425277,-0.018999873,-0.096388645,0.5288375,0.73001844,0.41417164,0.06880167,-0.030474678,0.019517168,0.016003348,0.90301585,0.35614055,0.195128,0.06822793,0.72668797,3.826428,1.5802013
0.0105388835,1.504437,1.0886588,-0.08041013,-0.06703645,3.0043123,0.37301865,-0.02195885,0.13917154,0.40541884,0.4143943,-0.13859293,-0.1552476,-0.09555929,0.79045707,-0.08790119,3.4223435,0.6604918,3.0047352,2.7597082,0.9053252,0.1625387,0.44970664,0.91647786,-0.0643282,-0.13221861,0.14153792,0.19887689,-0.12263958,0.08714799,-0.13154717,0.13505338,1.0605791,2.9093437,0.19282302,-0.06583582,0.81779766,4.4063163,1.4130589
0.7148746,0.40082046,0.52200943,0.32650164,-0.0681817,3.8765152,0.09611583,0.2798677,-0.16004337,0.41939718,0.7908769,-0.054609455,0.1950268,-0.09684971,0.1635873,2.3246477,3.1255796,-0.059317816,4.891667,3.7845035,0.09832856,1.4588751,-0.09337442,0.09245662,-0.0945324,-0.12141751,-0.05797671,-0.020932304,-0.103990495,0.1220326,-0.054435723,-0.05504703,0.86417717,3.97636,0.41359028,-0.039812077,0.42372093,4.903647,2.6024344
-0.1541111,1.6267785,0.54873985,-0.049615003,-0.12524824,0.5698556,0.18321505,-0.01344268,-0.11756156,0.0056481017,0.33258438,-0.06046262,-0.14783286,-0.1372908,1.4978095,-0.15768555,1.7262603,-0.120758034,4.416434,3.4070807,1.1819354,0.15814069,0.7836458,0.06444533,0.65759015,0.7003813,0.28457534,-0.124676675,0.14030164,0.4536006,-0.03308678,-0.0618029,1.8666215,0.94482934,-0.08406145,-0.06235188,0.15194623,4.2698464,2.2705743
-0.13194105,1.3215097,0.32715458,-0.002030188,-0.11138393,2.1417346,-0.052426305,-0.119017735,-0.03393337,0.11549022,0.12086884,0.5175043,-0.01254709,-0.011309424,1.1975021,0.24307181,2.780798,-0.06975571,3.5423656,2.845443,0.6060598,0.08749781,0.044335533,-0.041823536,-0.086260036,-0.068955824,-0.11975513,0.1928773,-0.09377229,-0.035091113,-0.08303504,-0.10151479,-0.12040064,1.2119212,-0.016636107,0.86410344,0.121208444,4.4746456,4.2603154
-0.12265399,1.1432395,-0.14427151,-0.0032185798,-0.020369558,1.9168985,-0.15595132,-0.05232477,-0.07879422,1.114349,0.027422085,-0.090410225,-0.025104476,-0.10094783,1.6528052,-0.05044068,3.608045,0.5959425,4.2730393,3.6465905,-0.13281575,-0.024536887,0.3769818,-0.12798795,0.23515369,1.0508223,-0.15797645,-0.052741688,-0.15467374,-0.108656906,-0.10683329,0.14152993,1.7846861,0.6163066,0.23392063,0.15771624,-0.064587116,4.5705795,0.562504
-0.06957635,1.7908791,0.7314878,0.096952274,-0.1039174,3.1748762,-0.07560911,0.12112833,0.21202983,1.381098,0.44373056,-0.036408916,-0.104671784,-0.06132058,1.1642425,1.6016985,4.1013904,0.06452213,4.4447823,2.8385262,0.54355615,-0.0013067944,0.5569875,0.38616112,-0.15264933,-0.0088787675,-0.10729366,0.53648025,0.06408328,-0.06711025,-0.0734148,-0.036066733,1.5303645,3.250627,1.2853961,1.0160667,0.4430377,5.3078375,2.1732125
-0.04475953,0.6916188,0.25361034,0.14071243,-0.053996064,1.8951771,0.28686592,0.41281596,-0.1545059,-0.044509213,1.212545,-0.057312317,-0.006985173,-0.12728697,1.1925199,1.5947058,3.0108964,-0.11813096,4.4099197,2.851686,0.16345502,-0.050733157,-0.08831649,-0.054141376,-0.115354195,-0.105363905,-0.078913815,-0.056480967,-0.04864501,0.048731476,0.086859696,0.35739788,1.4994102,2.4112935,0.6841133,0.20506305,0.7267897,5.1057935,1.0436742
-0.090573154,1.789836,0.21695565,-0.089917175,-0.11089931,3.1058896,0.84306306,0.19253562,-0.12654866,0.020627785,0.33509618,-0.013536947,-0.057973016,-0.103372,1.8204942,0.3666458,1.6773341,0.5600822,3.8266253,2.9749482,1.3174819,0.06858117,0.04163827,0.32676843,-0.0395321,-0.088489145,0.1577254,0.0030688148,0.10171331,-0.13557303,1.0108284,-0.13861948,1.1591767,2.112626,0.22773188,0.45447615,0.426713,4.008457,1.1796844
-0.0822855,0.7771801,-0.071517676,-0.123841174,0.0054597273,0.48582238,0.31177738,-0.035027165,-0.12406416,0.24805103,-0.104395695,-0.027588857,-0.10241087,-0.064756796,0.19889843,-0.1146028,3.2960658,1.4135715,4.456201,3.1822405,0.10269806,-0.0352701,-0.12999299,-0.0030782917,0.03315679,-0.107368566,0.3950558,-0.053008888,0.0078009926,-0.036037322,-0.040575784,-0.11472803,0.27321228,0.41501966,0.25715837,-0.03780208,0.28162667,4.5421896,1.5983399
0.27853292,1.5624589,-0.035307813,0.062370807,0.010380469,3.63967,0.36520702,-0.09136669,-0.12899828,1.3671727,0.35165662,-0.03543598,0.038538273,0.18526265,0.97778136,0.13996531,4.0753493,0.3981026,3.9267309,4.097638,0.61773896,0.38852447,0.10528298,1.0622036,-0.15604901,-0.1403611,0.58296305,2.0500154,0.6843113,0.04680209,-0.07342984,0.094689704,0.17556186,2.3002808,-0.010185374,-0.08190242,0.121606596,4.8687644,2.2140484
0.5113113,0.91586816,-0.013176153,-0.13807274,-0.12656507,0.7530991,-0.0064382832,-0.003394836,-0.036125243,-0.08585556,0.8552748,-0.1043956,-0.060301036,0.08746988,2.6284516,0.009546489,3.4227393,0.70007116,3.8739562,2.713103,0.39699677,-0.013522763,0.30740562,0.067305826,-0.12307573,0.03406107,-0.0919076,-0.05721732,-0.07725417,0.0030829736,-0.04150657,-0.08884664,0.031200755,0.6514761,1.4529698,0.028860135,0.22323059,4.2432833,0.298688
