"merge.1","merge.2"
-480,-3589
-2054,-2311
-1287,-2104
-266,-3665
-4236,-4283
-2140,-4216
-826,-2622
-982,-4576
-225,-4490
-1929,-2009
-1016,-3971
-316,-1107
-1691,-4931
-4385,-4411
-4091,-4299
-1425,-3807
-1907,-3836
-1105,-4039
-2049,-3376
-1218,-4513
-407,-1381
-1828,-3889
-2867,-3015
-3087,-3673
-1461,-3466
-471,-2998
-777,-3959
-109,-1493
-1727,-4879
-342,-2625
-3162,-3644
-3610,-3726
-341,-1331
-611,-3263
-281,-4140
-1048,-4381
-2555,-3933
-2623,-3543
-1935,-3093
-138,-2899
-3600,-4145
-4635,-4921
-2536,-3266
-1729,2
-999,-1423
-4452,-4736
-154,-919
-2156,-4122
-4311,-4873
-698,-2559
-1468,-2016
-2273,-3547
-980,-4059
-319,-1479
-267,-4363
-3830,-4586
-262,-4569
-100,-1402
-3241,-3565
-2771,-3062
-4020,-4672
-271,-3987
-337,-4800
-1664,-1753
-2708,-4134
-442,-2939
-3043,-3528
-773,-3556
-977,-3178
-2162,-2983
-507,-2292
-142,-2712
-1891,-4443
-52,-4993
-441,-2013
-45,-452
-1600,-2315
-867,-1796
-3169,-3459
-893,-3992
-218,-1984
-770,-1789
-1506,-3964
-1378,-4438
-1029,-1732
-1790,-3563
-1614,-4478
-1330,-4410
-1189,-3956
-30,-2429
-3530,-3662
-2992,-3305
-1427,-1836
-17,-1580
-1885,-3586
-430,-2710
-1682,-3438
-886,-1872
-1815,-4628
-1133,-3113
-1012,-3086
-991,-4405
-1478,-2905
-1883,-4186
-451,-4560
-2379,-3627
-2048,-3913
-10,-672
-898,-3637
-4394,-4712
-537,-4648
-3378,-4928
-3736,-4354
-2448,-4906
-1631,-2053
-2189,-2875
-324,-4043
-22,-253
-719,75
-710,-1467
-3950,-4021
-2000,-2263
-918,-1602
-633,-1978
-263,-4468
-3074,-4132
-205,-3515
-1657,-3122
-2815,-3594
-1505,-3149
-400,-880
-1430,-4978
-504,-1802
-3477,-4620
-2351,-4319
-354,-3293
-805,-4698
-3961,-4498
-2861,-3915
-438,-3742
-3223,-3327
-382,-2576
-574,-3628
-2678,-3576
-2442,-2508
-3416,-3818
-1303,-4558
-3455,-3669
-53,-219
-3055,-4890
-104,-2695
-1359,-3100
-417,-4325
-3947,-4756
-681,-3105
-874,39
-1758,-2574
-1982,-4205
-514,-4791
-2713,-4163
-1541,-3356
-851,-3444
-2397,-4439
-912,-3291
-4711,-4803
-1629,-2274
-1408,-3797
-2556,-4040
-2039,-2680
-1913,-4174
-1922,-3134
-416,-4445
-422,-3630
-932,-3330
-69,-4851
-2076,-2534
-1597,-2185
-563,-2845
-201,-1928
-2987,-4094
-1310,-3857
-2430,-2522
-1520,-4179
-2147,-3399
-4382,-4422
-3324,-4922
-1662,-4477
-88,-3244
-410,-1168
-59,-4991
-1317,-4095
-153,-3083
-310,-1374
-570,-3146
-2243,-4878
-981,-3063
-855,-925
-4165,-4600
-2010,-4054
-1852,-4809
-4729,-4850
-250,-2356
-1132,-2823
-1559,-3236
-774,-1794
-2673,-4104
-2590,88
-1470,-4685
-4402,-4563
-1563,-4721
-2814,-3858
-1154,-4152
-4660,131
1,104
-843,-1380
-1488,-1603
-208,-3800
-313,-4258
-2671,-2739
-1246,-2697
-347,24
-2774,-4737
-3687,-4707
-1100,-4388
-2834,-4847
-1572,-1738
-2773,-4355
-2496,-2813
-415,-4453
-2877,-3533
-145,-1510
-2651,42
-1919,-4272
-1730,-4577
-558,-2490
-3124,-4665
-3077,-3649
-2078,-3498
-598,-3893
-700,-4253
-1458,-2935
-1849,-3953
-4470,-4493
-3090,-3261
-4324,99
-379,-4336
-1221,-3044
-679,-3278
-1769,-4397
-468,-3289
-2578,-4593
-98,-102
-3946,-4371
-1906,-3879
-2972,-3210
-2851,-3937
-731,-2727
-1069,-3617
-1641,-3476
-572,-1918
-2944,13
-297,-4349
-3645,-4387
-2893,-4386
-2954,-3475
-322,-3555
-499,-1124
-4323,-4889
-2463,-2531
-2157,-2544
-2150,-2806
-4251,-4913
-608,-1550
-2070,3
-1237,-3347
-1404,-1803
-556,-786
-1253,-1324
-1670,-4072
-1306,-3338
-859,-3843
-2528,-2910
-2254,-3743
-3397,-4636
-1152,-4089
-2424,-3657
-105,-358
-159,-4752
-1518,-3821
-4310,-4407
-3174,-4764
110,149
-1308,-4501
-564,-2289
-2306,-4162
-378,-1917
-437,-506
-2849,-3681
-2362,-4582
-2031,-2968
-4144,92
-8,-1847
-4733,-4786
-2320,-3804
-1676,-3746
-4874,9
-375,-1820
-760,-3056
-4242,-4669
-2225,-3717
-2646,-4499
-1755,-3441
-1771,-3042
-4833,98
-906,-4044
-1120,-2865
-1071,-2540
-1426,-3192
-3507,-4727
-15,-2208
-747,-3213
-1487,-4821
-3941,-4790
-1276,-3834
-2723,-4278
-1143,-4514
-170,-2074
-1638,-3741
-2271,-2720
-588,-2122
-872,-3810
-321,-3908
-863,-2482
-1754,-4994
-1705,-2514
-1712,-4519
66,69
-1902,-2420
-3224,-4616
-2948,-4116
-1366,-2363
-2453,-3026
-517,-2681
-3068,-3561
-1474,-3974
-547,-2488
-90,-2795
-1344,-4495
-486,-3759
-2796,-2922
-931,-1560
-2560,-3384
-4291,-4379
-3165,79
-206,-2631
-1167,-4352
-1950,-2003
-1375,-3754
-79,-778
-1744,153
-1401,-2835
-622,-2059
-1591,-2089
-651,-4000
-2895,-3143
-1713,-2921
-2287,-2603
-1684,-4675
-614,-2726
-2257,-2981
-2487,-3608
-4188,-4626
-779,-2609
-3944,-4870
-151,-4011
-1894,-4417
-203,-1355
-264,-1348
-1362,-4175
-3579,-4657
-1653,-4033
-56,-1419
-1821,-3979
-197,-1757
-254,-2394
-148,-1201
-4041,-4884
22,52
-1759,-2932
-967,23
-2955,-3727
-282,-4131
-2130,-4463
-1765,-1845
-2248,-4585
-1549,-2891
-367,-4663
-39,-2439
-974,-1212
-2113,-4073
-1535,-3233
-2809,31
-2501,-3614
-3061,-3732
-1909,-3813
-2118,-2892
-96,-3958
-4395,107
-3180,195
-2985,-3734
-1314,-4780
-1052,-4538
-905,6
-425,-2205
-711,-3033
-2313,-4403
-2050,-3569
-1433,-1742
-3242,-3411
