"merge.1","merge.2"
-299,-2714
-70,-204
-1134,-4996
-724,-1857
-2428,-3262
-538,-1760
-460,-4479
-3486,-4324
-1962,-3181
-1356,-3947
-1073,-1632
-396,-2326
-985,-3070
-3725,-4035
-591,-4836
-1885,-1905
-2490,-4974
-1668,-4234
-3582,-3866
-268,-3419
-3618,-3724
-1925,-2355
-559,-1407
-1831,-4095
-969,-3936
-1138,-2969
-766,-2488
-2342,-2638
-2317,-2525
-248,-1675
-1282,-3651
-474,-3306
-1271,-1448
-2052,-3182
-302,-3303
-301,-2895
-66,-859
-827,-2806
-2085,-2504
-1471,-2023
-3227,-3260
-385,-4218
-1487,-3103
-4247,-4259
-668,-2344
-552,-997
-2437,-3098
-2360,-4338
-888,-4018
-3616,-3767
-615,-1784
-1396,-2118
-1046,-1249
-1383,-3714
-1153,-1158
-3371,-3979
-3001,-4564
-4012,-4236
-811,-4030
-102,-908
-1591,-3884
-941,-1561
-1765,-3635
-699,-4033
-938,-4556
-189,-543
-42,-644
-3807,-4154
-2575,-2756
-3275,-3602
-112,-4964
-2917,-4300
-2025,-2764
-4525,-4956
-630,-4110
-1587,-4677
-1839,-4926
-1798,-2097
-2065,-3558
-338,-3761
-932,-1310
-1737,-3094
-2544,-3492
-708,-1042
-481,-3837
-1218,1
-1726,-3653
-1199,-4731
-257,-706
-2087,-3287
-342,-3393
-2720,-4697
-2037,-2792
-4215,20
-2536,-2789
-172,-2379
-1837,-2450
-2933,-4311
-483,43
-3709,-4165
-76,34
-3976,-4670
-469,-3406
-576,-1708
-2893,-4269
-422,-1845
-83,-1377
-1389,-3442
-2009,-2693
-4103,-4769
-1054,-3224
-2539,-3684
-2060,-3951
-962,-2692
-1166,-4433
-1403,-4125
-2829,-2899
-1061,-1926
-1216,-2257
-1896,-2831
-803,-3914
-2765,-3994
-3631,16
-2637,-4630
-1703,-4362
-264,-2157
-3207,-3468
-101,-412
-1057,-1782
-2815,-4768
-1463,-4843
-523,-4414
-1298,-1501
-1860,-2091
-3272,-3862
-1655,-3488
-130,-3633
-2063,-2501
-421,-621
-747,-2552
-3603,-4877
-500,-2115
-3360,-4537
-347,-2022
-52,-2867
-291,-4633
-3259,-4447
-2471,-3649
-1302,-2659
-203,-4092
-278,-4211
-1413,-2172
-269,-4302
-508,-1063
-4239,-4526
-340,-2164
-173,-190
-1060,-4187
-247,-4611
