"merge.1","merge.2"
-3428,-4220
-1450,-2811
-1381,-1681
-1002,-1994
-913,-1950
-877,-2563
-3097,-3799
-2560,-3532
-32,-4832
-3792,-4120
-811,-1627
-1741,-3612
-310,-2698
-3307,-4077
-926,-2402
-3514,-3879
-140,-1241
-1771,-3784
-2566,-3308
-1507,-2368
-673,-1965
-2,-901
-84,-2088
-1674,-2004
-1406,-3944
-647,-4627
-4312,-4790
-1574,-3528
-338,-4522
-2375,-3001
-2622,-4076
-54,-2256
-2773,-4013
-1096,-1133
-1055,-3957
-91,-998
-1087,-2663
-1792,-3651
-181,-2407
-2284,-4488
-1491,-2226
-1157,-1233
-2300,-2770
-3529,-4071
-3641,-3777
-1833,-4033
-2232,-4478
-2616,-3580
-3,-918
-2049,-4595
-790,-4170
-755,-4782
-2617,-2852
-193,-4398
-803,-1694
-328,-4344
-2994,-4657
-1161,-3620
-228,-2435
-350,-3520
-515,-1521
-1989,-3819
-3630,-4163
-2460,-2699
-720,-1632
-619,-3326
-80,-496
-152,-1281
-1116,-3755
-220,-4282
-88,-4128
-2146,-3140
-271,-4061
-1623,-2784
-1798,-3448
-534,-1005
-2178,-3243
-225,-1759
-3407,-3464
-363,-4448
-273,-3721
-41,-1360
-679,-1012
-274,-4062
-572,-4588
-4083,-4601
-137,-2821
-975,-2838
-1119,-2016
-2934,-4010
-1416,-2785
-1321,-3713
-209,-1782
-206,-3636
-3360,-3941
-1206,-3849
-337,-4784
-2071,-4571
-908,-2769
-449,-2379
-878,-4415
-397,-3818
-1992,-3994
-3942,-4994
-475,-1651
-659,-3921
-663,-3359
-4777,10
-1135,-3058
-593,-3686
-3283,-4541
-61,-2940
-4618,60
-1371,-1497
-1670,-3009
-2905,-3666
-276,-547
-1274,-4392
-1030,-1188
-987,-4134
-2007,-2522
-1583,-2615
-110,-1207
-2983,-4882
-563,-1664
-241,-927
-925,-3285
-412,-2686
-1757,-2828
-2659,-2875
-1597,-2419
-2924,-3435
-4794,15
-1930,-3020
-94,-4176
-802,-3386
-1584,-4026
-2045,-2900
-2089,-4030
-840,-2123
-2601,-4115
-806,-1428
-804,-3319
-1092,-3722
-2808,-4080
-3265,-3284
-1737,-2552
-135,-1072
-1863,-2740
-1921,-2087
-264,-3967
-567,-1338
-2692,43
-2066,-3394
-1614,-3560
-1777,-3018
20,23
-138,-1926
-3658,-4720
-111,-4212
-289,-4194
-535,-3907
-4351,-4989
-1291,-1647
-1250,-4584
-256,93
-1454,-4368
-143,-3616
-461,-1137
-955,-2893
-2140,-4407
-520,-4804
-2056,-2168
-1698,-2947
-1345,-2540
-1933,-4566
-4624,-4727
-270,-1811
-959,-2708
-254,-4072
-2469,-3864
-1268,-4792
-4221,61
-1456,-4014
-1987,-4002
-3568,-4890
-3769,-4091
-4036,-4500
-1795,-4402
-2121,-2638
-1080,-4023
-969,-3906
-430,-2355
-1866,-4379
-1043,-4082
-632,-2335
-93,-3843
-1468,-4301
-1369,-3648
-2478,-3783
-2181,-3051
-3698,-4234
-148,-3128
-442,-456
-1053,-2061
-991,-3478
-1017,-1075
-1512,-2603
-2160,-4064
-1747,-2135
-874,-2059
-2081,-2359
-1438,-3134
-1817,-3082
-405,-3766
-2628,-4300
-3331,-4808
-3149,-4934
-2903,-4664
-1729,-2728
-452,-3930
-2246,-4546
-3522,-4695
-2219,30
-3752,-4797
-2344,-4712
-1234,-3558
-403,-3038
-3561,-4464
-2314,-4192
-59,-981
-1655,-2124
-2967,-3152
-297,-4578
-410,-1212
-3933,-4622
-2413,-4874
-3854,-4100
-621,12
-1691,-4094
-3702,-3961
-156,-4153
-20,-583
-396,-4369
-2687,-4747
-1323,-1764
-3703,130
-4656,-4897
-189,54
-3080,-3591
-10,-1358
-1238,-1763
-2179,-4146
-718,-4277
-3282,-4145
-4273,-4811
-914,2
-2993,-4886
-144,-1891
-1788,-2559
-4098,16
-2068,-2851
-3637,-3753
-155,-3421
-2764,-4370
-4475,-4691
-537,-1372
-2459,-3239
-2386,-3489
-1752,-3880
-2234,-3567
-2294,-4129
-886,-1522
-129,-2763
-1088,-1273
-2438,-3895
-549,-3773
-304,-3228
-365,-2448
-2345,-3817
-1335,-4932
-4395,-4857
-1216,-4079
-4457,-4813
-2254,-4863
-3057,-4902
-1214,-1754
-3408,119
-775,-1068
-1999,-4485
-1783,-2587
-3898,-4096
-2551,-4006
-606,-4206
-1044,-3069
-2931,-3099
-1331,-2334
-499,-4334
-293,-3717
-546,-582
-208,-1697
-4687,-4827
-4066,-4567
-58,-1299
-4671,116
-1582,-4534
-1218,-2491
-1803,-2761
-2163,-2772
